$edp	Evropský slovníkový portál
$spe-legend	[Specializované slovníky] jsou takové slovníky, které se zaměřují na určitou podmnožinu slovní zásoby (například neologismy nebo frázová slovesa) nebo na určitou variantu (nářečí) jazyka.
$his-legend	[Historické slovníky] jsou takové slovníky, které dokumentují slovní zásobu dřívějších vývojových fází jazyka.
$por-legend	[Portály a agregátory] jsou internetové stránky, které zprostředkovávají přístup k několika slovníkům najednou.
$lang-sq	albánština
$lang-hy	arménština
$lang-rup	arumunština
$lang-ast	asturština
$lang-eu	baskičtina
$lang-bg	bulharština
$lang-ca	katalánština
$lang-kw	kornština
$lang-hr	chorvatština
$lang-cs	čeština
$lang-da	dánština
$lang-nl	nizozemština
$lang-en	angličtina
$lang-et	estonština
$lang-fo	faerština
$lang-fi	finština
$lang-fr	francouzština
$lang-gl	galicijština
$lang-de	němčina
$lang-el	řečtina
$lang-he	hebrejština
$lang-hu	maďarština
$lang-is	islandština
$lang-ga	irština
$lang-it	italština
$lang-krl	karelština
$lang-kom	komi
$lang-la	latina
$lang-lv	lotyština
$lang-lt	litevština
$lang-lb	lucemburština
$lang-mk	makedonština
$lang-mt	maltština
$lang-gv	manština
$lang-mord	mordvinština
$lang-no	norština
$lang-pl	polština
$lang-pt	portugalština
$lang-ro	rumunština
$lang-rm	rétorománština
$lang-ru	ruština
$lang-smi	sámština
$lang-sc	sardština
$lang-sco	skotština
$lang-gd	skotská gaelština
$lang-sr	srbština
$lang-sk	slovenština
$lang-sl	slovinština
$lang-wen	lužická srbština
$lang-es	španělština
$lang-sv	švédština
$lang-tr	turečtina
$lang-uk	ukrajinština
$lang-vep	vepština
$lang-cy	velština
$lang-fy	fríština
$lang-yi	jidiš
$lang-br	bretonština
$lang-sqk	albánský znakový jazyk
$lang-aen	arménský znakový jazyk
$lang-asq	rakouský znakový jazyk
$lang-bfi	britský znakový jazyk
$lang-bqn	bulharský znakový jazyk
$lang-csc	katalánský znakový jazyk
$lang-csq	chorvatský znakový jazyk
$lang-cse	český znakový jazyk
$lang-dsl	dánský znakový jazyk
$lang-eso	estonský znakový jazyk
$lang-fss	finsko-švédský znakový jazyk
$lang-fse	finský znakový jazyk
$lang-vgt	vlámský znakový jazyk
$lang-sfb	francouzsko-belgický znakový jazyk
$lang-fsl	francouzský znakový jazyk
$lang-gsg	německý znakový jazyk
$lang-gss	řecký znakový jazyk
$lang-hsh	maďarský znakový jazyk
$lang-icl	islandský znakový jazyk
$lang-isg	irský znakový jazyk
$lang-isr	izraelský znakový jazyk
$lang-ise	italský znakový jazyk
$lang-lsl	lotyšský znakový jazyk
$lang-lls	litevský znakový jazyk
$lang-mdl	maltský znakový jazyk
$lang-vsi	moldavský znakový jazyk
$lang-nsl	norský znakový jazyk
$lang-pso	polský znakový jazyk
$lang-psr	portugalský znakový jazyk
$lang-rms	rumunský znakový jazyk
$lang-rsl	ruský znakový jazyk
$lang-dse	nizozemský znakový jazyk
$lang-svk	slovenský znakový jazyk
$lang-ssp	španělský znakový jazyk
$lang-swl	švédský znakový jazyk
$lang-ssr	švýcarsko-francouzský znakový jazyk
$lang-sgg	švýcarsko-německý znakový jazyk
$lang-slf	švýcarsko-italský znakový jazyk
$lang-tsm	turecký znakový jazyk
$lang-ukl	ukrajinský znakový jazyk
$lang-vsv	valencijský znakový jazyk
$lang-ysl	jugoslávský znakový jazyk
