$edp	Európai Szótárportál
$prop-email-legend	Fel fogjuk venni a kapcsolatot önnel, amellyiben további információra van szükségünk. Nem fogjuk megosztani az ön címét senkivel.
$prop-email-error	Ez a címsor nem maradhat üresen, és kérjük, hogy érvényes e-mail címet adjon meg.
$prop-comments	MEGJEGYZÉSEK (NEM KÖTELEZŐ KITÖLTENI)
$prop-crit	Mielőtt beküldene egy szótárt, kérjük győződjön meg róla, hogy az megfelel-e az Európai Szótárportál által megadott [feltételeknek]!
$submit	Küldés
$about-info	Rólunk
$about-prop	Javasoljon szótárat
$about-crit	A szótárportálra való bekerülés feltételei
$about-crtr	Kurátorok szabályzata
$about-stmp	Minősítő pecsét
$about-dnld	Letöltés
$gen-name	Általános értelmező szótárak
$lrn-name	Tanulói szótárak
$ety-name	Etimológiai szótárak
$spe-name	Sajátos rendeltetésű szótárak
$his-name	Történeti szótárak
$por-name	Portálok és gyűjtőoldalak
$gen-legend	Az [általános értelmező szótárak] az irodalmi és a köznyelv elemeit magyarázzák elsősorban az anyanyelvi beszélők számára.
$lrn-legend	A [tanulói szótárak] a nyelvtanulóknak nyújtanak segítséget.
$ety-legend	Az [etimológiai szótárak] olyan szótárak, amelyek megmagyarázzák az egyes szavak eredetét.
$spe-legend	A [sajátos rendeltetésű szótárak] a szókincs egy-egy rétegét egyedi szempontok alapján mutatják be (mint például az új szavakat vagy a vonzatos igéket), vagy egy-egy nyelvjárást, illetve nyelvváltozatot dolgoznak fel.
$his-legend	A [történeti szótárak] olyan szótárak, amelyek a nyelv korábbi, történelmi állapotát dokumentálják.
$por-legend	A [portálok és gyűjtőoldalak] több szótárhoz engednek hozzáférést, amelyekben egyidejűleg lehet keresni.
$lang-sq	albán
$lang-hy	örmény
$lang-rup	aromán
$lang-ast	asztúriai
$lang-eu	baszk
$lang-bg	bolgár
$lang-ca	katalán
$lang-kw	korni
$lang-hr	horvát
$lang-cs	cseh
$lang-da	dán
$lang-nl	holland
$lang-en	angol
$lang-et	észt
$lang-fo	feröeri
$lang-fi	finn
$lang-fr	francia
$lang-gl	galego
$lang-de	német
$lang-el	görög
$lang-he	héber
$lang-hu	magyar
$lang-is	izlandi
$lang-ga	ír
$lang-it	olasz
$lang-krl	karjalai
$lang-kom	komi
$lang-la	latin
$lang-lv	lett
$lang-lt	litván
$lang-lb	luxemburgi
$lang-mk	macedón
$lang-mt	máltai
$lang-gv	manx
$lang-mord	mordvin
$lang-no	norvég
$lang-pl	lengyel
$lang-pt	portugál
$lang-ro	román
$lang-rm	romans
$lang-ru	orosz
$lang-smi	számi
$lang-sc	szárd
$lang-sco	skót
$lang-gd	skót gael
$lang-sr	szerb
$lang-sk	szlovák
$lang-sl	szlovén
$lang-wen	szorb
$lang-es	spanyol
$lang-sv	svéd
$lang-tr	török
$lang-uk	ukrán
$lang-vep	vepsze
$lang-cy	walesi
$lang-fy	fríz
$lang-yi	jiddis
$lang-br	breton
$lang-sqk	albán jelnyelv
$lang-aen	örmény jelnyelv
$lang-asq	osztrák jelnyelv
$lang-bfi	brit jelnyelv
$lang-bqn	bolgár jelnyelv
$lang-csc	katalán jelnyelv
$lang-csq	horvát jelnyelv
$lang-cse	cseh jelnyelv
$lang-dsl	dán jelnyelv
$lang-eso	észt jelnyelv
$lang-fss	finnországi svéd jelnyelv
$lang-fse	finn jelnyelv
$lang-vgt	flamand jelnyelv
$lang-sfb	francia belga jelnyelv
$lang-fsl	francia jelnyelv
$lang-gsg	német jelnyelv
$lang-gss	görög jelnyelv
$lang-hsh	magyar jelnyelv
$lang-icl	izlandi jelnyelv
$lang-isg	ír jelnyelv
$lang-isr	izraeli jelnyelv
$lang-ise	olasz jelnyelv
$lang-lsl	lett jelnyelv
$lang-lls	litván jelnyelv
$lang-mdl	máltai jelnyelv
$lang-vsi	moldáv jelnyelv
$lang-nsl	norvég jelnyelv
$lang-pso	lengyel jelnyelv
$lang-psr	portugál jelnyelv
$lang-rms	román jelnyelv
$lang-rsl	orosz jelnyelv
$lang-dse	holland jelnyelv
$lang-svk	szlovák jelnyelv
$lang-ssp	spanyol jelnyelv
$lang-swl	svéd jelnyelv
$lang-ssr	svájci francia jelnyelv
$lang-sgg	svájci német jelnyelv
$lang-slf	svájci olasz jelnyelv
$lang-tsm	török jelnyelv
$lang-ukl	ukrán jelnyelv
$lang-vsv	valenciai jelnyelv
$lang-ysl	jugoszláv jelnyelv

$lang-lmo	lombard
$lang-oc	okcitán
