$edp	Tairseach Eorpach na bhFoclóirí
$submit	Seol

$about-info	Eolas
$about-prop	Mol foclóir dúinn
$about-crit	Critéir chun foclóir a liostú
$about-crtr	Lámhleabhar na n-eagarthóirí
$about-stmp	Lipéad faofa
$about-dnld	Íoslódáil

$gen-name	Foclóirí ginearálta
$lrn-name	Foclóirí don fhoghlaimeoir
$ety-name	Foclóirí sanasaíochta
$spe-name	Foclóirí ar ábhair faoi leith
$his-name	Foclóirí stairiúla
$por-name	Tairsigh agus cnuasaigh

$gen-legend	Foclóir é [foclóir ginearálta] a dhéanann cur síos ar stór na bhfocal comhaimseartha sa teanga, agus é ceaptha mar áis thagartha laethúil don chainteoir dúchais.
$lrn-legend	Foclóir é [foclóir don fhoghlaimeoir] atá ceaptha mar thaca don té atá ag foghlaim teanga nach í a theanga dhúchais í.
$ety-legend	Foclóir é [foclóir sanasaíochta] a mhíníonn cá as do na focail atá sa teanga.
$spe-legend	Foclóir é [foclóir ar ábhar faoi leith] atá dírithe ar fhothacar den stór focal atá sa teanga (mar shampla focail nua nó briathra frásacha), nó ar leagan faoi leith na teanga (mar shampla canúint faoi leith).
$his-legend	Foclóir é [foclóir stairiúil] a dhéanann cur síos ar stór focal na teanga mar a bhíodh sé san am atá caite.
$por-legend	Rangaítear suíomh idirlín mar [thairseach nó cnuasach] má thugann sé rochtain ar iliomad foclóirí san áit chéanna.

$lang-sq	Albáinis
$lang-hy	Airméinis
$lang-rup	Arómáinis
$lang-ast	Astúiris
$lang-eu	Bascais
$lang-bg	Bulgáiris
$lang-ca	Catalóinis
$lang-kw	Coirnis
$lang-hr	Cróitis
$lang-cs	Seicis
$lang-da	Danmhairgis
$lang-nl	Ollainnis
$lang-en	Béarla
$lang-et	Eastóinis
$lang-fo	Faróis
$lang-fi	Fionlainnis
$lang-fr	Fraincis
$lang-gl	Gailísis
$lang-de	Gearmáinis
$lang-el	Gréigis
$lang-he	Eabhrais
$lang-hu	Ungáiris
$lang-is	Íoslainnis
$lang-ga	Gaeilge
$lang-it	Iodáilis
$lang-krl	Cairéilis
$lang-kom	Coimis
$lang-la	Laidin
$lang-lv	Laitvis
$lang-lt	Liotuáinis
$lang-lb	Lucsambuirgis
$lang-mk	Macadóinis
$lang-mt	Máltais
$lang-gv	Manainnis
$lang-mord	Mordvinis
$lang-no	Ioruais
$lang-pl	Polainnis
$lang-pt	Portaingéilis
$lang-ro	Rómáinis
$lang-rm	Rómainis
$lang-ru	Rúisis
$lang-smi	Sáimis
$lang-sc	Sairdínis
$lang-sco	Albainis
$lang-gd	Gaeilge na hAlban
$lang-sr	Seirbis
$lang-sk	Slóvaicis
$lang-sl	Slóivéinis
$lang-wen	Sorbais
$lang-es	Spáinnis
$lang-sv	Sualainnis
$lang-tr	Tuircis
$lang-uk	Úcráinis
$lang-vep	Veps
$lang-cy	Breatnais
$lang-fy	Freaslainnis
$lang-yi	Giúdais
$lang-br	Briotáinis

$lang-sqk	TC na hAlbáine
$lang-aen	TC na hAirméine
$lang-asq	TC na hOstaire
$lang-bfi	TC na Breataine
$lang-bqn	TC na Bulgáire
$lang-csc	TC na Catalóine
$lang-csq	TC na Cróite
$lang-cse	TC na Seice
$lang-dsl	TC na Danmhairge
$lang-eso	TC na hEastóine
$lang-fss	TC Shualannach na Fionlainne
$lang-fse	TC na Fionlainne
$lang-vgt	TC Fhlóndras
$lang-sfb	TC Fhrancach na Beilge
$lang-fsl	TC na Fraince
$lang-gsg	TC na Gearmáine
$lang-gss	TC na Gréige
$lang-hsh	TC na hUngáire
$lang-icl	TC na hÍoslainne
$lang-isg	TC na hÉireann
$lang-isr	TC Iosrael
$lang-ise	TC na hIodáile
$lang-lsl	TC na Laitvia
$lang-lls	TC na Liotuáine
$lang-mdl	TC Mhálta
$lang-vsi	TC na Moldáive
$lang-nsl	TC na hIorua
$lang-pso	TC na Polainne
$lang-psr	TC na Portaingéile
$lang-rms	TC na Rómáine
$lang-rsl	TC na Rúise
$lang-dse	TC na hÍsiltíre
$lang-svk	TC na Slóvaice
$lang-ssp	TC na Spáinne
$lang-swl	TC na Sualainne
$lang-ssr	TC Fhrancach na hEilvéise
$lang-sgg	TC Ghearmánach na hEilvéise
$lang-slf	TC Iodálach na hEilvéise
$lang-tsm	TC na Tuirce
$lang-ukl	TC na hÚcráine
$lang-vsv	TC Valencia
$lang-ysl	TC Iúgslavach

$lang-lmo	Lombairdis
$lang-oc	Ocsatáinis
$ort-name	Foclóirí ortagrafaíochta
$ort-legend	Foclóir é [foclóirí ortagrafaíochta] a thugann treoir maidir le ceartlitriú na bhfocal sa teanga.
$trm-name	Foclóirí téarmaíochta
$trm-legend	Déanann [foclóirí téarmaíochta] cur síos ar an stór focal i réimsí speisialaithe, mar shampla sa bhitheolaíocht, sa mhatamaitic agus san eacnamaíocht.
$monoDicts	Foclóirí aonteangacha

