$edp	Europeesk Wurdboekportaal
$lang-gsg	Dútske gebeartetaal
$lang-gss	Grykske gebeartetaal
$lang-hsh	Hongaarske gebeartetaal
$lang-icl	Yslânske gebeartetaal
$lang-isg	Ierske gebeartetaal
$lang-isr	Israelyske gebeartetaal
$lang-ise	Italiaanske gebeartetaal
$lang-lsl	Letske gebeartetaal
$lang-lls	Litouske gebeartetaal
$lang-mdl	Malteeske gebeartetaal
$lang-vsi	Moldavyske gebeartetaal
$lang-nsl	Noarkse gebeartetaal
$lang-pso	Poalske gebeartetaal
$lang-psr	Portugeeske gebeartetaal
$lang-rms	Roemeenske gebeartetaal
$lang-rsl	Russyske gebeartetaal
$lang-dse	Nederlânske gebeartetaal
$lang-svk	Slowaakske gebeartetaal
$lang-ssp	Spaanske gebeartetaal
$lang-swl	Sweedske gebeartetaal
$lang-ssr	Switsersk-Frânske gebeartetaal
$lang-sgg	Switsersk-Dútske gebeartetaal
$lang-slf	Switsersk-Italiaanske gebeartetaal
$lang-tsm	Turkske gebeartetaal
$lang-ukl	Oekraynske gebeartetaal
$lang-vsv	Falensiaanske gebeartetaal
$lang-ysl	Joegoslavyske gebeartetaal
