$edp	Ευρωπαϊκή Πύλη Λεξικών
$his-legend	Τα [Ιστορικά λεξικά] τεκμηριώνουν προηγούμενες ιστορικές φάσεις της γλώσσας.
$por-legend	Οι [Πύλες και συναθροιστές περιεχομένου] είναι ιστότοποι οι οποίοι παρέχουν πρόσβαση σε περισσότερα από ένα λεξικά και επιτρέπουν την αναζήτηση σε όλα ταυτόχρονα.
$lang-sq	Αλβανική
$lang-hy	Αρμενική
$lang-rup	Αρωμανική
$lang-ast	Αστουριανή
$lang-eu	Βασκική
$lang-bg	Βουλγαρική
$lang-ca	Καταλανική
$lang-kw	Κορνουαλική
$lang-hr	Κροατική
$lang-cs	Τσεχική
$lang-da	Δανική
$lang-nl	Ολλανδική
$lang-en	Αγγλική
$lang-et	Εσθονική
$lang-fo	Φεροϊκή
$lang-fi	Φινλανδική
$lang-fr	Γαλλική
$lang-gl	Γαλικιανή
$lang-de	Γερμανική
$lang-el	Ελληνική
$lang-he	Εβραϊκή
$lang-hu	Ουγγρική
$lang-is	Ισλανδική
$lang-ga	Ιρλανδική
$lang-it	Ιταλική
$lang-krl	Καρελιανή
$lang-kom	Komi
$lang-la	Λατινική
$lang-lv	Λετονική
$lang-lt	Λιθουανική
$lang-lb	Λουξεμβουργιανή
$lang-mk	Σλαβομακεδονική
$lang-mt	Μαλτεζική
$lang-gv	Μανξ
$lang-mord	Mordivian
$lang-no	Νορβηγική
$lang-pl	Πολωνική
$lang-pt	Πορτογαλική
$lang-ro	Ρουμανική
$lang-rm	Ρομανσική
$lang-ru	Ρωσική
$lang-smi	Sami
$lang-sc	Σαρδηνιακή
$lang-sco	Σκωτς
$lang-gd	Σκοτική Γελική
$lang-sr	Σερβική
$lang-sk	Σλοβακική
$lang-sl	Σλοβενική
$lang-wen	Σορβική
$lang-es	Ισπανική
$lang-sv	Σουηδική
$lang-tr	Τουρκική
$lang-uk	Ουκρανική
$lang-vep	Vepsian
$lang-cy	Ουαλική
$lang-fy	Φριζική
$lang-yi	Γερμανο-εβραϊκή
$lang-br	Βρετονική
$lang-sqk	Αλβανική Νοηματική Γλώσσα
$lang-aen	Αρμενική Νοηματική Γλώσσα
$lang-asq	Αυστριακή Νοηματική Γλώσσα
$lang-bfi	Βρετανική Νοηματική Γλώσσα
$lang-bqn	Βουλγαρική Νοηματική Γλώσσα
$lang-csc	Καταλανική Νοηματική Γλώσσα
$lang-csq	Κροατική Νοηματική Γλώσσα
$lang-cse	Τσεχική Νοηματική Γλώσσα
$lang-dsl	Δανική Νοηματική Γλώσσα
$lang-eso	Εσθονική Νοηματική Γλώσσα
$lang-fss	Φινλανδο-σουηδική Νοηματική Γλώσσα
$lang-fse	Φινλανδική Νοηματική Γλώσσα
$lang-vgt	Φλαμανδική Νοηματική Γλώσσα
$lang-sfb	Γαλλο-βελγική Νοηματική Γλώσσα
$lang-fsl	Γαλλική Νοηματική Γλώσσα
$lang-gsg	Γερμανική Νοηματική Γλώσσα
$lang-gss	Ελληνική Νοηματική Γλώσσα
$lang-hsh	Ουγγρική Νοηματική Γλώσσα
$lang-icl	Ισλανδική Νοηματική Γλώσσα
$lang-isg	Ιρλανδική Νοηματική Γλώσσα
$lang-isr	Ισραηλιτική Νοηματική Γλώσσα
$lang-ise	Ιταλική Νοηματική Γλώσσα
$lang-lsl	Λετονική Νοηματική Γλώσσα
$lang-lls	Λιθουανική Νοηματική Γλώσσα
$lang-mdl	Μαλτεζική Νοηματική Γλώσσα
$lang-vsi	Μολδαβική Νοηματική Γλώσσα
$lang-nsl	Νορβηγική Νοηματική Γλώσσα
$lang-pso	Πολωνκή Νοηματική Γλώσσα
$lang-psr	Πορτογαλική Νοηματική Γλώσσα
$lang-rms	Ρουμανική Νοηματική Γλώσσα
$lang-rsl	Ρωσική Νοηματική Γλώσσα
$lang-dse	Ολλανδική Νοηματική Γλώσσα
$lang-svk	Σλοβακική Νοηματική Γλώσσα
$lang-ssp	Ισπανική Νοηματική Γλώσσα
$lang-swl	Σουηδική Νοηματική Γλώσσα
$lang-ssr	Σουηδο-γαλλική Νοηματική Γλώσσα
$lang-sgg	Σουηδο-γερμανική Νοηματική Γλώσσα
$lang-slf	Σουηδο-ιταλική Νοηματική Γλώσσα
$lang-tsm	Τουρκική Νοηματική Γλώσσα
$lang-ukl	Ουκρανική Νοηματική Γλώσσα
$lang-vsv	Βαλενθιανή Νοηματική Γλώσσα
$lang-ysl	Γιουγκοσλαβική Νοηματική Γλώσσα
